3P4W	Hz=60	MD=15	SEC=300	CT=1	VT=1	INPUT=V1
      DATE	      TIME	       V12	       V23	       V31	        V1	        V2	        V3	        I1	        I2	        I3	        P1	        P2	        P3	        S1	        S2	        S3	        Q1	        Q2	        Q3	       PF1	       PF2	       PF3	    Phase1	    Phase2	    Phase3	     W_SYS	    VA_SYS	   VAR_SYS	    PF_SYS	    WH_SYS	   VAH_SYS	  VARH_SYS	   PFH_SYS	     W(AD)	    VA(AD)	     W(MD)	    VA(MD)
2012-09-25	  15:58:08	    466.9V	    468.2V	    465.9V	    269.4V	    270.1V	    269.5V	    078.2A	    079.2A	    076.0A	   012.5KW	   011.6KW	   011.6KW	  021.0KVA	  021.4KVA	  020.4KVA	-016.8KVAR	-017.9KVAR	-016.7KVAR	      0,59	      0,54	      0,57	    -053,5	    -056,8	    -055,4	   035.8KW	  062.5KVA	-051.4KVAR	      0,57	  003.0KWH	 005.2KVAH	004.3KVARH	     0,57H	          	          	    ------	    ------	
2012-09-25	  16:03:08	    467.9V	    467.7V	    465.4V	    269.1V	    270.4V	    269.4V	    089.9A	    091.7A	    087.2A	   013.8KW	   012.8KW	   012.6KW	  024.1KVA	  024.7KVA	  023.4KVA	-019.7KVAR	-021.1KVAR	-019.7KVAR	      0,57	      0,51	      0,53	    -055,4	    -058,9	    -057,7	   039.2KW	  072.0KVA	-060.5KVAR	      0,54	  006.3KWH	 011.2KVAH	009.3KVARH	     0,55H	          	          	    ------	    ------	
2012-09-25	  16:08:08	    466.4V	    467.3V	    466.4V	    269.3V	    269.8V	    269.3V	    088.7A	    089.9A	    086.2A	   013.2KW	   012.2KW	   012.1KW	  023.9KVA	  024.2KVA	  023.2KVA	-019.8KVAR	-020.9KVAR	-019.7KVAR	      0,55	      0,50	      0,52	    -056,2	    -059,7	    -058,4	   037.6KW	  071.0KVA	-060.4KVAR	      0,52	  009.4KWH	 017.1KVAH	014.4KVARH	     0,54H	   037.5KW	  068.5KVA	   037.5KW	  068.5KVA	
2012-09-25	  16:13:08	    467.1V	    466.9V	    466.0V	    269.2V	    270.0V	    269.2V	    089.3A	    090.1A	    086.5A	   013.3KW	   012.4KW	   012.4KW	  024.0KVA	  024.2KVA	  023.3KVA	-019.9KVAR	-020.8KVAR	-019.7KVAR	      0,55	      0,51	      0,53	    -056,0	    -059,2	    -058,0	   038.0KW	  071.3KVA	-060.4KVAR	      0,53	  012.6KWH	 023.1KVAH	019.4KVARH	     0,54H	   037.5KW	  068.5KVA	   037.5KW	  068.5KVA	
2012-09-25	  16:18:08	    466.7V	    467.0V	    465.5V	    268.9V	    269.8V	    269.2V	    100.7A	    102.0A	    098.4A	   017.3KW	   016.6KW	   016.3KW	  027.0KVA	  027.5KVA	  026.4KVA	-020.6KVAR	-021.8KVAR	-020.6KVAR	      0,64	      0,60	      0,61	    -050,2	    -052,7	    -051,9	   050.2KW	  080.5KVA	-063.1KVAR	      0,62	  016.7KWH	 029.8KVAH	024.6KVARH	     0,56H	   037.5KW	  068.5KVA	   037.5KW	  068.5KVA	
2012-09-25	  16:23:08	    467.2V	    466.8V	    466.4V	    269.3V	    270.0V	    269.3V	    093.5A	    094.8A	    090.4A	   014.6KW	   013.7KW	   013.4KW	  025.1KVA	  025.6KVA	  024.2KVA	-020.3KVAR	-021.5KVAR	-020.2KVAR	      0,58	      0,53	      0,55	    -054,2	    -057,6	    -056,3	   041.8KW	  074.6KVA	-061.9KVAR	      0,55	  020.2KWH	 036.0KVAH	029.8KVARH	     0,56H	   043.3KW	  075.5KVA	   043.3KW	  075.5KVA	
2012-09-25	  16:28:08	    466.3V	    465.9V	    465.6V	    268.8V	    269.4V	    268.9V	    102.8A	    103.3A	    100.1A	   017.6KW	   016.7KW	   016.8KW	  027.6KVA	  027.7KVA	  026.9KVA	-021.1KVAR	-022.1KVAR	-020.9KVAR	      0,63	      0,60	      0,62	    -050,0	    -052,7	    -051,6	   051.1KW	  082.0KVA	-064.1KVAR	      0,62	  024.5KWH	 042.8KVAH	035.1KVARH	     0,57H	   043.3KW	  075.5KVA	   043.3KW	  075.5KVA	
2012-09-25	  16:33:08	    467.2V	    467.0V	    467.1V	    269.8V	    270.0V	    269.3V	    096.8A	    098.8A	    097.2A	   015.7KW	   015.2KW	   016.0KW	  026.0KVA	  026.6KVA	  026.2KVA	-020.6KVAR	-021.8KVAR	-020.6KVAR	      0,60	      0,57	      0,61	    -052,3	    -054,3	    -052,2	   046.9KW	  078.6KVA	-063.1KVAR	      0,59	  028.4KWH	 049.4KVAH	040.4KVARH	     0,57H	   043.3KW	  075.5KVA	   043.3KW	  075.5KVA	
2012-09-25	  16:38:08	    467.4V	    465.9V	    466.2V	    269.8V	    269.2V	    269.1V	    086.0A	    087.1A	    083.9A	   012.0KW	   010.9KW	   011.3KW	  023.2KVA	  023.4KVA	  022.6KVA	-019.8KVAR	-020.6KVAR	-019.4KVAR	      0,51	      0,46	      0,50	    -058,4	    -061,5	    -059,6	   034.2KW	  068.9KVA	-059.9KVAR	      0,49	  031.2KWH	 055.1KVAH	045.4KVARH	     0,56H	   044.1KW	  076.5KVA	   044.1KW	  076.5KVA	
2012-09-25	  16:43:08	    466.8V	    466.3V	    466.4V	    269.3V	    269.8V	    269.0V	    087.7A	    089.6A	    085.4A	   012.7KW	   011.6KW	   011.5KW	  023.5KVA	  024.1KVA	  022.9KVA	-019.7KVAR	-021.1KVAR	-019.8KVAR	      0,54	      0,48	      0,50	    -057,1	    -061,1	    -059,9	   035.9KW	  070.3KVA	-060.6KVAR	      0,51	  034.2KWH	 061.0KVAH	050.4KVARH	     0,56H	   044.1KW	  076.5KVA	   044.1KW	  076.5KVA	
